"id","title","description","cover_image"
"8","Con Đường Trường Sinh Mô Phỏng Của Tôi","Con đường Tiên đạo thật khó khăn biết bao!
Nhất là trong thế giới tu tiên bị một trận dịch bệnh hoàn toàn thay đổi này! Phàm nhân mang bệnh, tiên nhân một khi tiếp xúc, nhẹ thì tu vi giảm sút, nặng thì trở về trời, khiến tiên phàm vĩnh viễn cách biệt. Ta xuyên không đến đây, đầy tham vọng, nhưng chỉ có thể lăn lộn trong trần thế, lãng phí cả đời.
May mà lúc lâm chung cuối cùng đã tỉnh ngộ được bảo vật dị dị, có thể biến thật thành giả, biến cuộc đời thật thành giấc mộng hư ảo, trở về lúc mới xuyên không!
Vậy là, ta bắt đầu con đường trường sinh dài đằng đẵng!","qq-comics/thumbnails/656766.jpg"
"181","Hướng Dẫn Quyến Rũ Bắt Buộc","""Tiên tình yêu? Robot từ tương lai? Hẹn hò với đàn ông!"" ""Tuyệt đối không!"" Cô tiểu thư kiêu ngạo và tsundere Hạ Hâm, vốn sống khép kín và mắc chứng sợ đàn ông, bị một robot tình yêu đẹp trai từ tương lai xuyên không ép buộc liên kết. Vì hình phạt quá kỳ quái, không thể phản kháng, cô chỉ còn cách theo hướng dẫn quyến rũ để bắt đầu một hành trình tán tỉnh đầy xấu hổ...","qq-comics/thumbnails/625319.jpg"
"98","Nữ Hoàng Rối","Nữ hoàng rối có gì xấu chứ? Không phải lo toan mà còn có đồ ăn ngon và y phục lộng lẫy. Gì cơ? Người điều khiển yêu quý của ta bị ám sát?? Ai dám động đến ta!","qq-comics/thumbnails/656010.jpg"
"54","Tiểu Ớt Ngọt Ngào Của Tổng Tài Bá Đạo","Nữ chính Giản Tiểu Ninh, cha mẹ cô vì mắc nợ cờ bạc khổng lồ đã nhảy lầu tự tử. Cô đang chìm đắm trong nỗi đau buồn, còn Nam Cung Dự chính là kẻ thù của cô. Dù lúc nào, anh ta cũng chưa từng học được cách dịu dàng.
Cô bắt đầu cuộc sống như nô lệ, bất lực chịu đựng sự ngược đãi của anh ta.","qq-comics/thumbnails/656950.jpg"
"149","Ông Chủ","Yêu một người có thể thuần khiết và quên mình đến mức nào, kẻ toan tính sẽ chẳng bao giờ hiểu—hoặc có thể tấn công chiếm đất, toan tính lừa dối, đều vì tôi yêu bạn nhiều hơn.","qq-comics/thumbnails/642094.jpg"
"112","Chiến Thú Ảo Linh","Lin Feng 12 tuổi tình cờ bị truyền chuyển đến ""Thế Giới Ảo Linh"" trên sân bóng rổ của trường, một thế giới song song bí ẩn với Trái Đất. Cậu được Thanh Long chọn để chống lại tổ chức Thần Điện Bóng Tối đe dọa hòa bình. Lin Feng và Thanh Long vượt thời không, tập hợp sức mạnh của bốn Chiến Thú Ảo Linh lớn, đối mặt với các cuộc tấn công từ những ảo linh phản diện khác, trải qua thử thách về tình bạn và niềm tin. Cuối cùng, Lin Feng hé lộ bí mật của Thế Giới Ảo Linh và dũng cảm đối đầu với Hắc Long Nidhogg, bảo vệ Thế Giới Ảo Linh.","qq-comics/thumbnails/655577.jpg"
"132","Phi Nhân Tại","Nghe nói sau khi thành lập quốc gia, yêu quái không thể thành tinh! Vậy hãy cùng xem yêu quái trong năm nghìn năm qua đã thích nghi với xã hội hiện đại như thế nào nhé! Cốt truyện đầy sáng tạo và hấp dẫn, cuộc sống thường ngày không bình thường, mỗi tập là một câu chuyện châm biếm, diễn giải khác lạ về Sơn Hải Kinh. Bộ truyện tranh mạng siêu hot này không phải nói chơi đâu! [Được ủy quyền]","qq-comics/thumbnails/545320.jpg"
"49","Khách Trọ Khó Ở, Chủ Nhà Bệnh Hoạn","Cô gái Vina nhập học trường Trung học Huaxia danh tiếng với tư cách học sinh đóng học phí. Trong tuần đầu tiên ở trường, để được mọi người công nhận, Vina quyết tâm chứng minh bản thân bằng tài năng riêng. Cô chuẩn bị thành lập câu lạc bộ trong tháng câu lạc bộ, và sau một thời gian nỗ lực, Vina đã thành công cùng với Thẩm Tinh, La Lăng và Lili thành lập câu lạc bộ COS Huaxia.","qq-comics/thumbnails/656958.jpg"
"50","Quỹ Đạo Đảo Ngược Khác Biệt","Anh trai duy nhất của Hạ Liên Ca, người học tại Văn Phòng Hồng Mai, đã mất tích không dấu vết sau một vụ việc gây chấn động về học sinh liên tiếp biến mất cách đây hai năm. Với quyết tâm tìm kiếm anh trai, Hạ Diễm Nhiên đã thi đỗ vào học viện quý tộc lớn nhất thế giới này, tọa lạc tại Tân Anh Lân. Học viện này thực hiện hệ thống quản lý theo giai cấp, và sự phân cấp này được dùng để phân loại một số học sinh đặc biệt chưa được biết đến trong trường — những người được gọi là người có năng lực ESP.","qq-comics/thumbnails/656957.jpg"
"96","Ngay cả kẻ gian lận cũng là người yếu nhất trong môn phái?!","Tất cả các sư huynh đệ của tôi đều là đại năng chuyển thế, chỉ có tôi là người bình thường ở một thành phố tuyến ba bên cạnh, bị sư phụ lừa gạt đưa về làm bảo mẫu. May mà môn phái này có quá nhiều buff, tôi cũng khá may mắn khi thức tỉnh Hệ Thống Bản Đồ Cảm Tình — thu thập bản đồ đại năng, nhận điểm cảm tình, sử dụng năng lực của đại năng, sướng phát điên!","qq-comics/thumbnails/656011.jpg"
"190","Yêu Một Ngôi Nhà Toàn Ma Cà Rồng","[Cập nhật mỗi thứ Bảy] Ba nghìn năm trước, ma cà rồng bị đuổi giết sạch bởi những người trừ tà, ba đứa trẻ ma cà rồng cuối cùng bị phong ấn trong quan tài băng. Một nghìn năm sau, những đứa trẻ ma cà rồng tỉnh dậy và tìm thấy nhau. Trong trận chiến với người trừ tà, họ phát hiện ra một bí mật và cải tạo một cậu bé. Bốn người ra mắt với tên ONER, trở thành nhóm nhạc nam duy nhất trên thế giới gồm toàn ma cà rồng.","qq-comics/thumbnails/634960.jpg"
"5","Chim trong Lồng","[Sát Thủ Hạng S Đỉnh Cao Mê Mẩn Chó X Hướng Dẫn Viên Mỹ Nam Năm] Kỳ Tu Hiên, người không thể thích nghi với bất kỳ hướng dẫn viên nào, đã ngất xỉu bên lề đường do rối loạn tinh thần sau trận chiến trong phụ bản, được Bạch Vũ Sinh phát hiện khi đang trên đường về nhà sau giờ làm. Bạch Vũ Sinh vốn định bỏ đi, cuối cùng vẫn cởi găng tay để giúp Kỳ Tu Hiên giải tỏa. Kỳ Tu Hiên, người chưa từng được giải tỏa, vì lần đầu tiên bị kích thích quá mức nên tỉnh lại từ trạng thái ngất... [Cập nhật mỗi thứ Bảy]","https://manhua.acimg.cn/vertical/0/13_15_40_005a368aa59fa435e2fb7bfe8e090543_1763019605097.jpg/420"
"13","Trên Đại Đạo","Trần Thực là hậu duệ của đội thuyền Trịnh Hòa, bẩm sinh có thai thần nhưng bị chiếm đoạt, chỉ dựa vào ông nội Trần Dận. Anh giấu tay ma quái, ký ức rời rạc, bắt đầu con đường tu luyện để tìm kiếm sự thật. Âm phủ biến động, ma quỷ hỗn chiến, anh bị cuốn vào tranh chấp giữa các thế gia, môn phái và triều đình, giữ vững tấm lòng nguyên thủy. Cuối cùng, anh vạch trần bí mật thế giới và bí ẩn thân thế, đối đầu với nguy cơ diệt vong, tạo nên huyền thoại.","qq-comics/thumbnails/656852.jpg"
"85","Tạm Dừng","Do biến cố gia đình, học sinh trung học Gu Sui buộc phải chuyển đến thị trấn nhỏ. Ở đó, cậu tình cờ gặp Ruan Shuer, người sống trong cảnh nghèo khó nhưng kiên cường. Một người mang theo quá khứ nhưng vẫn lạc quan; một người trầm lặng chịu đựng, một mình gánh vác gia đình. Thế giới của họ dần giao thoa, trở thành sự hiện diện độc đáo nhất trong tuổi trẻ của nhau.","qq-comics/thumbnails/656467.jpg"
"76","Nữ hiệp, xin dừng lại!","Tề Đại Hữu tưởng rằng cuộc sống đại học sẽ bình thường và không có gì đặc biệt, nhưng lại gặp phải những trải nghiệm kỳ lạ này. Diệp Chúc Chúc, cô gái ngang ngược xé truyện tranh rồi bước ra ngoài, ngay lập tức dùng một thanh kiếm áp vào cổ anh. Vì vậy, để có thể đưa Diệp Chúc Chúc trở lại truyện tranh, họ bắt đầu hợp tác tìm kiếm tung tích của truyện, và không ngờ giữa họ lại nảy sinh một tình cảm kỳ diệu.","qq-comics/thumbnails/656619.jpg"
"55","Bảng Thần Tối","Một đạo cô từng tham gia chiến tranh phế Chu phong thần, chiến công hiển hách nhưng không có duyên phong thần, chán nản nằm yên sống qua ngày, nhưng luôn có những phản diện không biết điều đến quấy rối cô.","qq-comics/thumbnails/656980.jpg"
"168","Thế Giới AOTU","Nào các chiến binh, hãy thi đấu và chiến đấu tại đây! Dùng lòng dũng cảm và trí tuệ của các bạn để làm hài lòng các vị thần và giành chiến thắng mọi thứ! Đây chính là 'Đại Hội AOTU'!

Truyện tranh gốc AOTU World, cùng tên với bộ anime đang phát sóng.","qq-comics/thumbnails/553882.jpg"
"41","Trở thành Thần trong Nhị phân","Năm 2035, trong thời đại hiện đại với AI phát triển cao, tỷ lệ thất nghiệp lên tới 40%.
Từ đó, một trò chơi ảo mang tên ""GOLDGAME"" ra đời dành cho tầng lớp thượng lưu giải trí. Bằng cách đánh cược mạng sống, chỉ cần thắng trò chơi là có thể nhận được khối tài sản khổng lồ, đảo ngược cuộc đời.
Chen Mo, một nhà nghiên cứu AI thất nghiệp, nhiều lần sống sót trong trò chơi tử thần này để tìm lại em gái mất tích và biến thành thần.","qq-comics/thumbnails/657058.jpg"
"147","Đạo Mộ Bút Ký Khởi Động Lại","Người ẩn cư Vô Hiệp nhận được một tin nhắn từ Tam Thúc. Theo manh mối của Tam Thúc, anh tìm thấy một ngôi mộ cổ có thể liên quan đến quá khứ của Tam Thúc, đó là ngôi mộ huyền thoại Vương Mộ Nam Hải. Vì vậy, chuyến phiêu lưu của Bộ Ba Sắt lại bắt đầu... [Cập nhật mỗi thứ Năm]","qq-comics/thumbnails/631452.jpg"
"113","Xanh Xoài LYT","Một hoàng tử trẻ say mê môn cúc cầu, vô tình xuyên không đến thời hiện đại, dựa vào tài năng cúc cầu xuất sắc dẫn dắt đội bóng đá trung học sắp giải tán tạo nên kỳ tích!","qq-comics/thumbnails/655631.jpg"
"115","Mối Ràng Buộc Của Quái Vật Tội Lỗi 2","Nhà văn trinh thám Tu sửa vì tìm tư liệu viết truyện, tự mình tham gia điều tra vụ án nghi vấn, nhưng phát hiện hiện trường án mạng và sự thật lại y hệt như trong tiểu thuyết của anh! Người đang thao túng phía sau lại ẩn nấp ngay bên cạnh anh... Tội ác khiến tình yêu mọc nanh vuốt, mối quan hệ tam giác rối rắm bắt đầu mở ra, anh nên tin ai? Và có thể tin ai?","qq-comics/thumbnails/655517.jpg"
"73","Anh ấy là trai thẳng mà!","Cặp đôi bi kịch khi tự mình uốn cong bản thân nhưng lại phát hiện đối phương là trai thẳng. Mọi người đều nghĩ mình là cái bóng lớn của đối phương.","qq-comics/thumbnails/656639.jpg"
"2","Tiến Hóa Vô Tận Từ Con Số Không","Dùng hết rồi thải trừ, phá vỡ giới hạn. Thiên Nhân Huệ Căn, đỉnh cao học bá. Đa dạng hình thái, vượt qua tiến hóa. Tái sinh trở lại, bắt đầu từ con số không, tiến hóa vô hạn.","qq-comics/thumbnails/656767.jpg"
"160","Nữ Thần Chiến Đấu Của Tôi","Đây là thời đại quái vật hoành hành, con người chỉ có thể sống trong những thành phố pháo đài khổng lồ. Cậu bé Ike vốn là một thanh niên bình thường mơ ước được sống trong nội thành, nhưng cuộc sống và số phận của cậu đã thay đổi sau khi cứu một cô gái kỳ lạ bán khỏa thân.","qq-comics/thumbnails/623015.jpg"
"187","Cứu thế giới cần rất nhiều sự dễ thương","Ở vực thẳm tận cùng thế giới song song ngoài Trái Đất, có mười hai ấn chú ma tiên phong bế, phong ấn những ác ma từ thời cổ đại để lại. Mỗi ấn chú đều có một tiểu ma tiên dễ thương canh giữ. Một ngày nọ, ma tiên bị trọng thương, vương phủ nổi loạn. Vương phủ giả truyền mật lệnh của nữ vương, triệu tập mười hai ma tiên đến, thực chất là bày mưu giết họ. Ma pháp yếu nhất là Lạc Tiên vì chứng trì hoãn nghiêm trọng đến muộn, may mắn thoát nạn. Để cứu bạn bè, Lạc Tiên mở một chút ấn chú mượn sức mạnh của ác ma...","qq-comics/thumbnails/650993.jpg"
"110","Liêu Trai","Nhân vật trong ""Liêu Trai"" xuyên không đến cuộc sống hiện đại trong một bộ phim hài tình huống hàng ngày đầy tiếng cười.","qq-comics/thumbnails/655718.jpg"
"156","Diêm Vương Không Vui","Gì cơ! Diêm Vương mới lại là một cô bé? Mà còn cực kỳ sợ ma? Được rồi được rồi, vậy thì quẳng cô ấy xuống trần gian để rèn luyện đi. Thế giới rộng lớn, đúng sai nhiều vô kể, Diêm Vương nhân gian nếu không dùng hết sức mạnh huyền nguyên thì làm sao chống đỡ nổi! Hãy xem cô Diêm Vương nhỏ bé sẽ đánh quái lên cấp thế nào, tìm kiếm ý nghĩa của sự sống nơi cuối con đường! [Đã cấp phép/Hoàn thành]","qq-comics/thumbnails/552896.jpg"
"21","Mèo Đến","Trong một thế giới ma thuật hiện đại, một người du hành bí ẩn xuyên không, khám phá sự thật lịch sử và tìm kiếm con đường cứu rỗi trên chiến trường nơi công nghệ hiện đại và phép thuật cổ xưa đan xen.","qq-comics/thumbnails/657065.jpg"
"92","Chiến Thần Long Tử","Truyền thuyết bí ẩn nhất của Long Quốc, người đàn ông mạnh nhất, chủ nhân Long Thần Điện được tôn xưng là ""Diệp Thần"" Diệp Phong, sau năm năm trở lại Giang Thành. Đấu quyền quý, báo thù gia tộc, bảo vệ vợ. Một cơn giận làm mây đổi sắc, một chiêu đảo lộn sông biển. Long Thần bá chủ, tái chiến giang hồ!","qq-comics/thumbnails/656251.jpg"
"10","Thế Giới Thần Quỷ, Tôi Có Cảm Thức Đặc Biệt","Một giấc tỉnh dậy, Kỳ Thiếu đến một thế giới thần quỷ nơi núi tiên sụp đổ, đền miếu hoang phế, yêu quái lột da, thần hoang ăn tủy. Đồng thời nhận được khả năng tích lũy cảm thức như tiền, cảm thức tích càng nhiều, những điều ngộ ra càng thần kỳ. Kỳ Thiếu cũng bị ép vào những sự kiện quái dị, trước là Bồ Tát Xương Trắng miệng thốt hoa sen “thanh tẩy” vạn vật, sau là Lão Quân luyện tâm luyện đan, nhưng đằng sau yêu ma ngang dọc lại ẩn chứa lòng người đáng sợ.","qq-comics/thumbnails/656863.jpg"
"172","Thông Báo Công Khai","Ca sĩ gốc nổi tiếng Shen Mo bị xã hội và truyền thông chỉ trích sau khi sự việc đồng tính của anh bị phơi bày. Không còn lối thoát, anh buộc phải lấy bí danh Shen Xiaoxiao và giả gái để tái xuất. Ngôi sao từng kiêu hãnh và tự mãn giờ phải chịu đựng nhục nhã để bắt đầu lại. Tương lai anh sẽ đi về đâu...?","qq-comics/thumbnails/623251.jpg"
"126","Test Comic 2 VI","Test description VI",""
"127","New Test Comic VI","Test description VI",""
"7","Tôi Gặp Tuyết Vào Mùa Hạ Rực Rỡ","Ba năm trước, Diệp Đường, sinh ra trong khu ổ chuột nhưng mơ trở thành luật sư để thay đổi số phận nghèo khó, đã yêu Mạnh Dật Hưng, thiếu gia xã hội đen đeo mặt nạ tiếp cận mình. Cô bị anh ta lợi dụng, rơi xuống đáy vực cuộc đời.
Ba năm sau, Diệp Đường giả mạo lý lịch, mượn danh người khác trở thành luật sư và tái ngộ Mạnh Dật Hưng. Biết rõ quá khứ cô, Mạnh Dật Hưng dùng để uy hiếp, nối lại duyên cũ. Lần này, Diệp Đường quyết định lợi dụng lại Mạnh Dật Hưng.
Hai kẻ lừa đảo lừa nhau đến trắng tay, rồi lại dùng và kéo nhau đến có tất cả.","images/qq-comics/656693.jpg"
"128","Batch Test 1 VI","Test",""
"129","Batch Test 2 VI","Test",""
"130","Batch Test 3 VI","Test",""
"131","Batch Test 4 VI","Test",""
"90","Thần Cấp Ngự Vật: Nữ Thần Hợp Đồng Vô Hạn Của Tôi","Thức tỉnh thiên phú ngự vật cấp SSS, cầm thanh thánh kiếm vô địch, mặc giáp thần cấp, cưỡi xe máy cực ngầu, Lâm Phóng: Tất cả trang bị này đều do nữ thần biến ra! Dị thú xâm lược, tận thế đến? Vợ ơi, cùng anh lên đỉnh vương tọa nào!","qq-comics/thumbnails/656267.jpg"
"29","Tiên tử, xin hãy nghe tôi giải thích.","Hứa Nguyên vô tình xuyên không vào trò chơi ""Thương Nguyên"", lại còn trở thành con trai thứ ba của đại phản diện cuối cùng?! Hơn nữa còn bị Nhiếp Thanh Mặc, nữ đệ tử của chưởng môn kiếm tông truy sát! Đối mặt với sự truy đuổi của nhân vật yêu thích nhất, Hứa Nguyên phải viết lại số phận phản diện! Tiên tử! Xin hãy nghe tôi giải thích!","qq-comics/thumbnails/656998.jpg"
"32","Nam thần, hình tượng của anh sụp đổ rồi!","Tái sinh về thời đại đại học. Chu Dục Văn hiểu rất rõ tầm quan trọng của hình tượng. Kiếp này, nhãn hiệu của Chu Dục Văn là trưởng thành, tài năng xuất chúng!
""Tôi là người khá truyền thống, tôi nghĩ yêu đương thì phải có trách nhiệm, nên yêu phải thật thận trọng.""
""Chu Dục Văn, cùng tôi tái hôn đi!""
""Cút đi! Tao có bạn gái rồi!""
Anh chạy, cô đuổi! Anh không thể bay thoát dù có cánh!","qq-comics/thumbnails/657011.jpg"
"102","Sư Phụ Côn Trùng Ngày Tận Thế","Cập nhật vào thứ Tư và thứ Bảy hàng tuần. Ngày tận thế đã đến, muôn vật biến dị, con người từ đỉnh chuỗi thức ăn rơi xuống, trở thành những con kiến nhỏ bé vật lộn sinh tồn.
Cướp bóc và giết chóc tràn ngập mọi ngóc ngách. Đây là địa ngục của người thường, nhưng là thiên đường của kẻ tiến hóa.
Bắt đầu với việc nhận được ký sinh của Sâu Hoàng, có được sức mạnh tiến hóa, ta sẽ trở thành chủ nhân của lục địa hoang tàn này!","qq-comics/thumbnails/655954.jpg"
"171","","",""
"148","Biên giới tận thế · Chương Vinh quang Vương giả","Tìm kiếm tài khoản chính thức 【Biên giới tận thế】 để xem các tập đặc biệt, ngoại truyện và phát hành độc quyền!","qq-comics/thumbnails/637203.jpg"
"143","","",""
"84","Tôi đang bắt quái vật trong ngày tận thế","Trong ngày tận thế quái vật hoành hành, ai cũng lo sợ, nhưng tôi lại có một hệ thống có thể bắt quái vật! Người nhện ma mị, quái thú to bằng cả thành phố, còn có cả truyền thuyết Hắc Bạch Vô Thường, đều là thú cưng của tôi!","qq-comics/thumbnails/656525.jpg"
"166","Tam Giới Chí · Thần Ma Lục","Thời thịnh trị của Đại Đường, dưới vẻ ngoài hòa bình lại ẩn chứa những dòng chảy ngầm dữ dội.
Vua Đường liên tiếp phái hai đội sứ giả: một đi về phía Tây lấy kinh, một đi về phía Nam trừ ác. Mục đích của hành động này là gì?
Yêu loạn thường xuyên xảy ra ở Nam Chiêm Bộ Châu, Tề Thiên Đại Thánh thậm chí bị ép phải cuốn vào giữa, thế lực bí ẩn nào đang điều khiển cuộc tranh chấp của tam giới?
Ba tuyến truyện của Lý Huyền Cơ, Ninh Viên và Đại Thánh song song tiến triển cuối cùng hội tụ, hé lộ bí mật phía sau việc Đường Tam Tạng lấy kinh và sự diệt vong của Ngưu Ma Vương...

Q: 985749205","qq-comics/thumbnails/648986.jpg"
"133","Vòng Ác","Hậu duệ ""Cấp Thần"" duy nhất còn sót lại, Sanyue, đeo chiếc nhẫn đen và sống với thân phận thấp kém tại vùng đất lưu đày bẩn thỉu. Nhưng cuộc sống yên bình của cậu bị phá vỡ khi thân phận bị lộ. Một thế lực cấp đặc biệt xem cậu là mối đe dọa và cử đội ám sát truy đuổi Sanyue. Năm dị năng giả tồn tại từ nhỏ để bảo vệ Sanyue cũng được triệu tập cùng lúc. Họ vội vã đến vùng lưu đày để bảo vệ hậu duệ ""Cấp Thần"" cuối cùng. Một trận chiến giữa các ""vòng"" sắp bắt đầu!
[Cập nhật vào ngày 5, 15 và 25 hàng tháng]","qq-comics/thumbnails/655271.jpg"
"17","Nhiệt Độ Tận Thế: Tôi Trở Thành Thần Nhờ Nhà An Toàn","Thiên tai ập đến, xem ta tái sinh với hàng nghìn tỷ vật tư! Trả thù kẻ phản bội, nữ thần chủ động theo đuổi, làm vua của thời loạn!","qq-comics/thumbnails/656861.jpg"
"72","Bí Mật Dưới Váy","Năm nay, Rao Chuge đã đỗ vào trường trung học lý tưởng trong lòng mình một cách suôn sẻ, nhưng trên đường đến trường ngày đầu tiên, cô đã gây ra một sự náo loạn. Đó là vì cô có một siêu năng lực: chỉ cần cô mặc váy, khi cô bắt đầu mơ mộng, chiếc váy sẽ tự động dịch chuyển những thứ liên quan, không giới hạn quy mô, khiến cô rất phiền toái.","qq-comics/thumbnails/656633.jpg"
"179","","",""
